Record_ID,Age,Community_Buildin,Community_Membership_Family,Community_Membership_Hobbies,Community_Membership_None,Community_Membership_Other,Community_Membership_Political,Community_Membership_Professional,Community_Membership_Religious,Community_Membership_Support,Country,Disability_Cognitive,Disability_Hearing,Disability_Motor,Disability_Not_Impaired,Disability_Not_Say,Disability_Vision,Education_Attainment,Falsification_of_Information,Gender,Household_Income,How_You_Heard_About_Survey_Banner,How_You_Heard_About_Survey_Friend,How_You_Heard_About_Survey_Mailing_List,How_You_Heard_About_Survey_Others,How_You_Heard_About_Survey_Printed_Media,How_You_Heard_About_Survey_Remebered,How_You_Heard_About_Survey_Search_Engine,How_You_Heard_About_Survey_Usenet_News,How_You_Heard_About_Survey_WWW_Page,Major_Geographical_Location,Major_Occupation,Marital_Status,Most_Import_Issue_Facing_the_Internet,Opinions_on_-Censorship,Primary_Language,Primary_Place_of_WWW_Access,Race,Not_Purchasing_Bad_experience,Not_Purchasing_Bad_press,Not_Purchasing_Cant_find,Not_Purchasing_Company_policy,Not_Purchasing_Easier_locally,Not_Purchasing_Enough_info,Not_Purchasing_Judge_quality,Not_Purchasing_Never_tried,Not_Purchasing_No_credit,Not_Purchasing_Not_applicable,Not_Purchasing_Not_option,Not_Purchasing_Other,Not_Purchasing_Prefer_people,Not_Purchasing_Privacy,Not_Purchasing_Receipt,Not_Purchasing_Security,Not_Purchasing_Too_complicated,Not_Purchasing_Uncomfortable,Not_Purchasing_Unfamiliar_vendor,Registered_to_Vote,Sexual_Preference,Web_Ordering,Web_Page_Creation,Who_Pays_for_Access_Dont_Know,Who_Pays_for_Access_Other,Who_Pays_for_Access_Parents,Who_Pays_for_Access_School,Who_Pays_for_Access_Self,Who_Pays_for_Access_Work,Willingness_to_Pay_Fees,Years_on_Internet
1,41,2,0,0,1,0,0,0,0,0,40,0,0,0,1,0,0,5,1,1,8,0,0,0,0,0,0,0,1,0,5,2,3,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,99,2
2,28,2,0,0,0,0,0,0,0,1,40,0,0,0,1,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0,5,3,5,6,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,0,1,0,4,0
3,25,0,1,1,0,0,0,1,0,0,7,0,0,0,1,0,0,4,2,1,8,0,0,0,0,0,0,0,0,1,5,0,99,6,4,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,1,1,1,0,0,0,0,1,1,99,2
4,28,0,0,0,0,1,0,0,0,0,11,0,0,0,1,0,0,4,4,0,6,0,0,0,0,0,0,0,0,1,5,2,99,2,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,4,2
5,17,0,0,0,0,0,1,1,0,1,50,0,0,0,1,0,0,1,5,1,1,0,0,1,0,0,0,0,0,0,6,3,5,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,4,2
6,55,2,1,0,0,0,0,1,1,0,48,0,0,0,1,0,0,2,1,1,7,0,0,0,1,0,0,0,0,0,5,2,3,6,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,4,3
7,53,2,0,1,0,1,0,0,0,1,33,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,5,99,1,2,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,1,0,99,0
8,25,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,1,6,1,4,0,0,0,0,0,0,0,0,1,5,2,5,98,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2,1,2,2,0,0,0,0,1,0,4,0
9,32,2,1,1,0,1,0,1,0,0,34,0,0,0,1,0,0,3,1,1,3,0,0,0,0,0,0,0,0,1,5,99,3,1,1,1,2,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,4,1
10,65,0,0,0,0,0,0,0,0,1,51,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,6,99,3,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,0,0,0,0,1,0,4,2
11,49,0,0,0,0,0,0,1,0,0,15,0,0,0,1,0,0,5,4,0,6,0,0,0,0,0,1,0,0,0,5,0,3,2,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,4,4
12,27,0,0,1,0,1,0,0,0,0,11,0,0,0,1,0,0,7,2,1,4,0,0,0,0,0,0,0,0,1,5,1,5,1,4,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,1,0,0,0,0,1,0,4,1
13,55,98,0,0,1,0,0,0,0,0,40,0,0,0,1,0,0,5,1,1,4,0,0,0,0,0,0,0,0,1,5,3,4,1,4,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,99,1
14,27,0,1,1,0,0,0,1,0,0,30,0,0,0,1,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,5,0,99,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,1,99,3
15,33,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,7,6,1,8,0,0,0,0,0,0,1,0,0,5,99,3,1,1,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,2,0,0,0,0,1,0,3,3
16,25,0,0,1,0,0,0,0,0,0,35,0,0,0,1,0,0,1,1,1,3,0,0,0,0,0,0,0,0,1,5,99,5,2,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,6,2
17,44,0,0,1,0,0,0,1,1,0,12,0,0,0,1,0,0,5,1,0,5,0,0,0,0,0,0,0,0,1,5,3,6,1,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,1,1,4,1
18,63,98,1,0,0,0,0,0,0,0,40,0,0,0,1,0,0,2,1,1,5,0,0,0,0,0,0,0,0,1,5,2,3,1,4,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,4,2
19,18,2,0,1,0,0,0,0,0,0,43,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,3,5,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,1,0,0,0,3,2
20,30,98,0,1,0,1,0,0,0,1,35,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,5,99,99,4,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,1,0,4,2
