person_id,sex,age,foreign_residence,offshore_account,previous_arrest,unverified_phone,international_passport,unverified_address,former_conviction,surveillance_data,high_ticket_sales,frequent_relocation
78357,F,40,0,1,1,0,1,0,0,0,0,0
74876,M,45,1,0,1,1,0,0,0,0,1,0
10915,F,22,1,1,1,1,1,0,1,1,1,1
33056,M,27,1,1,0,1,1,0,0,0,0,0
47330,F,21,0,0,0,0,0,1,0,1,0,0
33173,F,43,1,0,1,0,0,0,0,0,0,0
43557,F,25,1,0,0,1,0,0,0,0,0,0
24210,F,50,0,0,0,0,0,1,0,0,1,0
48893,F,49,1,0,0,1,0,0,0,0,0,0
40690,M,45,0,1,0,0,0,0,0,0,0,0
88596,F,38,0,0,0,0,1,0,0,0,0,0
72248,M,28,1,0,0,1,1,0,0,0,1,0
38765,M,22,1,0,0,0,0,0,0,0,0,1
29095,M,42,0,1,0,1,1,1,0,1,0,0
69110,M,16,1,0,0,1,0,0,0,0,0,0
34605,F,49,0,1,0,0,0,0,0,0,0,0
103139,F,20,0,0,1,0,1,0,0,1,1,0
92209,F,17,0,1,0,0,1,1,0,1,0,0
36364,F,48,1,0,0,0,1,0,1,1,0,0
19041,F,23,1,1,1,0,1,1,0,1,0,1
60571,F,29,1,1,1,0,0,0,0,0,0,0
62060,M,42,1,0,0,0,0,0,0,0,0,1
87482,F,38,1,0,0,0,0,1,0,0,1,1
87975,F,26,1,0,0,1,0,1,0,0,1,1
21543,F,27,1,1,0,0,0,0,0,0,1,0
31046,F,25,0,1,0,0,1,1,0,0,1,0
99025,M,42,0,0,0,0,1,0,0,0,0,0
14891,F,26,1,0,0,1,0,0,0,0,0,0
80728,F,28,1,1,0,1,0,0,0,0,0,0
83523,M,40,0,0,0,0,1,0,0,0,1,0
88812,F,34,0,0,1,0,0,0,0,1,1,0
38014,F,42,0,0,0,0,0,1,0,0,1,0
36191,F,24,0,0,0,0,0,0,1,1,1,0
68501,F,31,0,0,0,1,0,0,0,1,0,0
95488,F,26,0,0,0,1,0,0,0,0,0,0
41805,M,25,0,0,0,1,0,0,0,0,0,1
16055,M,38,1,1,0,0,0,0,0,0,0,0
39221,M,43,0,0,0,0,1,1,0,1,1,0
86759,F,34,1,0,0,0,0,0,0,0,0,0
59580,M,50,0,1,0,1,0,0,0,1,1,1
10360,M,20,1,0,1,0,0,0,0,0,0,0
51846,F,21,0,1,0,0,1,1,0,1,0,0
80137,F,33,1,0,0,1,0,0,0,0,0,1
28977,M,33,0,1,0,0,1,0,0,0,0,1
47251,F,43,0,0,0,0,0,0,0,1,0,0
103325,F,49,1,0,1,0,0,1,1,0,0,1
61618,F,49,1,1,0,1,0,0,0,0,1,0
70858,M,46,0,0,1,0,1,1,0,1,0,1
105601,M,42,0,1,0,0,1,0,0,0,0,0
101699,M,35,1,0,0,1,1,0,0,0,0,0
19999,F,44,0,1,1,0,0,0,0,0,0,1
94467,M,49,0,0,0,0,0,1,0,1,0,0
72849,M,47,0,0,0,0,1,0,0,0,0,0
36278,M,40,0,1,0,0,0,0,0,0,0,0
70998,M,43,0,0,0,0,0,0,0,0,1,1
61255,F,31,0,0,0,0,1,1,0,1,0,0
36040,M,26,0,1,1,0,0,0,0,0,0,0
12938,F,27,1,1,1,0,1,1,1,1,0,0
75274,M,23,1,0,1,0,0,0,0,0,0,0
33622,M,25,1,0,1,0,1,1,0,1,1,0
108832,F,37,1,1,1,1,1,0,0,1,1,0
96982,M,49,1,0,0,0,1,1,0,0,1,0
12584,F,29,1,0,0,1,0,0,0,0,0,0
58914,F,50,1,0,0,0,1,1,0,1,0,0
11241,M,22,0,0,0,0,1,1,0,1,0,1
30504,F,37,0,1,1,0,1,0,0,0,0,0
86331,M,29,0,0,0,0,0,0,0,0,0,1
19613,F,45,0,0,0,0,1,0,0,0,0,0
106792,M,45,1,1,1,0,0,0,0,0,0,0
65853,M,33,1,1,0,1,0,0,0,0,0,0
31083,F,26,1,0,0,0,1,1,0,0,0,0
82558,F,22,0,0,0,0,1,1,0,1,0,0
