Country,Claim_Date,Claim_Paid,Amt_Paid
Australia,5/4/16,0,
Australia,4/6/16,1,115.00000
Australia,4/20/16,1,144.00000
Australia,4/5/16,1,111.00000
Australia,4/13/16,1,105.00000
Australia,5/16/16,0,
Australia,5/11/16,1,136.00000
Australia,4/14/16,0,
Australia,4/19/16,0,
Australia,5/13/16,0,
Australia,5/19/16,0,
Australia,4/12/16,1,113.00000
Australia,4/26/16,0,
Australia,5/9/16,1,136.00000
Australia,5/20/16,1,132.00000
Canada,5/24/16,1,1009.00000
Canada,6/29/16,1,164.00000
Canada,4/4/16,0,
Canada,6/8/16,1,134.00000
Canada,5/25/16,1,102.00000
Canada,4/5/16,1,121.00000
Canada,6/14/16,0,
Canada,5/31/16,0,
Canada,6/30/16,1,168.00000
Canada,6/6/16,0,
Canada,6/10/16,1,148.00000
Canada,6/9/16,0,
France,5/2/16,0,
France,4/20/16,1,243.00000
France,5/26/16,0,
France,4/15/16,0,
France,6/3/16,0,
France,4/21/16,0,
France,5/18/16,1,179.00000
France,4/22/16,1,232.00000
France,5/6/16,1,196.00000
France,5/11/16,0,
France,4/25/16,0,
France,6/6/16,0,
France,5/17/16,0,
France,4/28/16,1,191.00000
Germany,6/27/16,0,
Germany,6/10/16,1,172.00000
Germany,6/9/16,1,192.00000
Germany,4/6/16,1,72.00000
Germany,4/1/16,1,105.00000
Germany,6/28/16,1,93.00000
Germany,6/13/16,1,131.00000
Germany,6/8/16,0,
Germany,6/14/16,1,128.00000
Germany,6/24/16,0,
Germany,6/22/16,0,
Italy,4/19/16,1,261.00000
Italy,4/7/16,1,327.00000
Italy,4/29/16,0,
Italy,4/12/16,0,
Italy,4/8/16,0,
Italy,4/13/16,1,293.00000
Italy,4/25/16,0,
Italy,5/18/16,0,
Italy,4/20/16,1,211.00000
Italy,5/4/16,1,207.00000
Italy,5/2/16,0,
Italy,5/16/16,1,201.00000
Italy,5/6/16,1,237.00000
Switzerland,5/23/16,0,
Switzerland,6/8/16,0,
Switzerland,5/24/16,1,385.00000
Switzerland,6/14/16,0,
Switzerland,5/30/16,1,315.00000
Switzerland,6/1/16,1,313.00000
Switzerland,6/2/16,0,
Switzerland,6/6/16,1,476.00000
Switzerland,6/17/16,1,474.00000
United Kindgom,5/20/16,0,
United Kindgom,6/2/16,1,209.00000
United Kindgom,5/26/16,1,153.00000
United Kindgom,5/25/16,1,125.00000
United Kindgom,5/27/16,1,207.00000
United Kindgom,5/17/16,1,135.00000
United States,4/13/16,0,
United States,4/20/16,1,201.00000
United States,4/25/16,1,209.00000
United States,6/27/16,1,207.00000
United States,5/5/16,1,879.00000
United States,4/19/16,1,113.00000
United States,5/13/16,1,292.00000
United States,4/26/16,0,
United States,4/4/16,0,
United States,5/11/16,1,1210.00000
United States,4/29/16,1,199.00000
United States,5/10/16,1,226.00000
United States,4/6/16,1,242.00000
