Week,PRICE 18PK,CASES 18PK
1,14.10,439
2,18.65,98
3,18.65,70
4,18.65,52
5,18.65,64
6,18.65,72
7,18.65,47
8,18.73,85
9,18.75,59
10,18.75,63
11,18.75,57
12,18.75,54
13,13.87,404
14,14.27,380
15,18.76,65
16,18.77,40
17,13.87,456
18,14.14,176
19,18.76,61
20,18.72,91
21,18.76,59
22,18.76,83
23,18.74,41
24,18.75,47
25,18.75,84
26,18.75,85
27,18.75,116
28,13.79,544
29,13.49,890
30,14.89,371
31,13.94,557
32,13.67,775
33,14.43,236
34,18.75,43
35,18.22,63
36,14.06,469
37,14.43,335
38,19.48,75
39,15.15,461
40,13.79,817
41,14.31,200
42,19.50,32
43,13.85,460
44,14.23,751
45,19.31,70
46,19.29,80
47,13.76,523
48,13.45,741
49,15.13,130
50,19.43,69
51,13.26,493
52,13.92,814
53,14.00,
54,18.00,
