Weight,MPG
2506,23
2595,28.8
2160,36
2565,26.5
1795,33
2100,27
1937,29
2130,27
2835,22
2774,18
3264,19
2700,26.8
2190,30.5
2755,25.5
2171,29
2660,24
2671,25
2868,19
1975,34.1
2430,24
2110,40.8
3150,20
2815,22
2904,23
2126,25
3158,15
2833,22
2672,25
3060,20.2
2135,29.5
3193,17.5
2789,18
3102,20
2542,31.3
1613,35
2000,31
3432,15
2711,29.8
2265,32.2
3205,18.1
1950,31
2395,34
2310,19
3430,20.5
1955,26
2945,25
3012,24
1760,35.1
2189,26
2490,27.2
2385,30
2300,25.5
2434,37
1755,39.1
2395,22
2694,23
3250,30
1845,29.8
1990,31.5
2640,27
2408,22
2025,37
3265,20.2
3381,19.1
2585,26
1825,29.5
3140,17
3070,20.8
1915,35.7
2220,25
1985,32.8
2155,30
2670,28.4
1937,29
2795,21.6
2592,23
2635,26.6
2979,21
2910,32.7
1800,36.1
3282,19
2164,24.5
2155,28
2670,27.4
2635,31.6
1970,31
2265,26
2330,19
2572,25
2600,21.5
3360,20.6
2830,20.3
2990,19.8
2625,28
1965,38
2045,31.5
2870,26.4
2875,21
2051,30.5
2855,23.8
2720,21.5
3190,27.2
3433,16
3211,19
3410,16.2
2003,32
2890,22.3
3425,19.2
2945,22
2379,22
2020,31.8
1835,26
2145,33.8
2702,24
3329,17
2123,28
2408,20
2930,24.2
2279,20
3410,18.1
3155,20.5
2264,28
2155,30
1875,39
2405,23.9
2219,29
2278,24
3420,23.9
2725,23.5
2634,19
1980,36
2200,34.2
2615,32.9
2158,24
3086,14
2130,44
3399,15
2065,32.3
2740,24.5
2464,28
1795,33
2962,18
2246,26
2545,24
1773,31
2300,27.2
2070,39.4
2560,27.5
2900,25.4
1968,38.1
2500,35
2035,29
2124,18
2125,28
2950,27
3459,18
3278,16
2300,26
3003,24.3
3169,13
1990,32
2678,28
2226,21
3288,18
2190,33
1649,31
3121,18
3465,17.6
1945,33.5
1995,38
2720,25.1
2372,24
2065,30
2525,29
3365,19.9
2930,19
2790,27
2202,27
2556,33.5
3021,18
2489,24
1800,36.1
3445,17.7
2575,31
2150,34.5
2288,28
1965,32
2205,36
2375,25
1963,26
2164,28
2125,38
2188,34.3
2254,23
1850,44.6
2320,34.5
3085,22.5
2045,34.4
3210,19.4
1834,27
2234,26
2290,32.4
2587,21
2120,32.1
2745,23.2
2265,26
2130,27
3436,18
2945,18
2648,21
3035,23
1836,32
2735,27
3415,22.4
3233,22
2050,37.7
2380,29.9
1835,40.9
2075,33.5
3270,19
2391,26
3449,17
2210,33.7
2108,24
2295,32
3302,19
2335,43.4
1985,34.1
2401,21
2350,32.4
2420,23.7
1975,37
2370,36
2223,25
1925,31.9
3230,28.1
2807,20
3353,22
3039,21
2957,23
2933,18
3425,20.5
3245,21.5
2472,21
2914,20
2965,20.2
2515,21.1
3221,20
2144,41.5
2542,25
2074,30
1867,29
2511,22
2255,26
3015,38
2125,36
2215,34.7
2905,23.6
3380,20.6
