Country,Code,Land,Population,Energy,Rural,Military,Health,HIV,Internet,BirthRate,ElderlyPop,LifeExpectancy,GDP,Electricity
Algeria,ALG,2381740,34.373,37069,34.8,13,10.6,0.1,10.2,20.8,4.6,72.4,4494.8867,970.98246
Armenia,ARM,28480,3.077,2997,36.1,16.1,7.2,0.1,6.2,15.3,11.6,73.5,3030.7144,1550.41574
Austria,AUT,82450,8.337,33246,32.8,2.4,15.8,0.3,72.9,9.3,17,80.2,45209.3961,7944.38916
Azerbaijan,AZE,82620,8.68,13367,48.1,22.9,2.5,0.1,28.2,17.8,6.8,70.2,5722.216,1620.51603
Bangladesh,BAN,130170,160,27944,72.9,10.8,7.4,0.1,0.3,21.4,3.8,66.1,674.9316,251.62867
Belarus,BLR,202900,9.681,28145,26.5,4.3,8.2,0.2,32.1,11.1,13.8,70.5,5765.0417,3298.62207
Belgium,BEL,30280,10.708,58583,2.6,2.7,14.8,0.2,70.5,11.7,17.2,80.4,43144.3434,7903.02925
Benin,BEN,110620,8.662,3005,58.8,6.8,8.8,1.2,1.8,39.4,3.2,61.4,749.507,91.26028
Bulgaria,BUL,108610,7.623,19779,28.9,7.9,11.2,0.1,39.5,10.2,17.3,73,6325.3923,4400.84687
Cambodia,CAM,176520,14.562,5220,78.4,13.9,9,0.6,0.5,24.7,3.4,61,795.1665,130.77784
Cameroon,CMR,472710,19.088,7102,43.2,0,6.1,5.3,3.8,36.9,3.6,51.1,1142.5918,271.2382
Canada,CAN,9093510,33.311,266771,19.6,7.4,17.2,0.2,75.3,11.3,13.6,81,46235.643,15466.70263
Chile,CHI,743530,16.804,31446,11.6,17.9,15.6,0.4,32.5,14.9,8.8,78.6,12431.0314,3283.0186
Colombia,COL,1109500,45.012,30770,25.5,18.4,18.3,0.5,38.5,20.4,5.4,73,6225.0778,1047.04854
CotedIvoire,CIV,318000,20.591,10278,51.2,8.8,4.6,3.7,3.2,35,3.8,57.4,1154.1449,203.46226
Croatia,CRO,55960,4.434,9075,42.7,5.4,17.6,0.1,44.1,9.9,17.2,75.9,13754.4394,3711.83348
CzechRepublic,CZE,77250,10.424,44632,26.5,3.8,13.3,0.1,62.3,11.5,14.7,77,18245.1739,6114.03754
Denmark,DEN,42430,5.494,19010,13.3,3.8,15.3,0.2,84.5,11.8,15.9,78.4,55890.6823,6246.49766
DominicanRepublic,DOM,48320,9.953,8162,31,3.8,10.4,0.9,20.8,22.5,5.9,72.6,5214.537,1358.19139
Egypt,EGY,995450,81.527,70710,57.3,7.6,5.9,0.1,16.6,24.7,4.5,70.1,2698.3651,1548.59358
ElSalvador,ESA,20720,6.134,4882,39.3,2.9,11.9,0.8,10.6,20.2,7,71.3,3425.5973,845.07184
Estonia,EST,42390,1.341,5398,30.5,6.9,11.9,1.2,70.6,12,17,73.8,14344.5107,5950.28916
Finland,FIN,303900,5.313,35255,36.7,3.8,12.6,0.1,83.5,11.2,16.5,79.6,44512.0119,15241.61194
France,FRA,547660,62.277,266495,22.6,5.2,16,0.4,70.4,12.9,16.6,80.9,39459.5474,7488.43452
Georgia,GEO,69490,4.307,2988,47.3,29.3,7.3,0.1,23.8,12.1,14.5,71.5,2620.2338,1585.19996
Germany,GER,348630,82.11,335284,26.4,4.5,18,0.1,78.1,8.3,20,79.7,40152.2189,6778.66131
Ghana,GHA,227540,23.351,9459,50,1.9,8.5,1.8,4.3,32.4,3.6,56.6,1283.4585,265.10634
Greece,GRE,128900,11.237,30419,39,7.7,13,0.1,40.8,10.5,18.2,79.9,26599.6969,5540.22243
Guatemala,GUA,107160,13.686,8072,51.4,3.6,15.9,0.8,14.3,33,4.4,70.3,2862.367,548.1122
Honduras,HON,111890,7.319,4624,52.1,3.8,15.5,0.8,9.6,27.5,4.2,72.2,2026.2181,678.26204
Hungary,HUN,89610,10.038,26458,32.5,2.7,10.2,0.1,60.9,9.9,16.1,73.7,12851.9783,3773.15381
Iceland,ISL,100250,0.317,5255,7.7,0.1,13.1,0.3,90.5,15.2,11.7,81.3,39616.8403,51259.18763
India,IND,2973190,1139.965,620973,70.5,14.7,4.4,0.3,4.5,22.8,4.8,63.7,1474.9808,596.82208
Indonesia,INA,1811570,227.345,198679,48.5,5.3,6.2,0.2,7.9,18.6,5.9,70.8,2945.5767,590.15352
Ireland,IRL,68890,4.426,14981,38.7,1.6,16,0.2,65.5,17,11.1,79.1,47170.2043,6033.94258
Israel,ISR,21640,7.309,22009,8.3,17.1,10,0.2,47.9,21.5,10,81,28504.1457,6607.61996
Italy,ITA,294140,59.832,176032,31.9,4.2,13.6,0.3,44.4,9.6,20.1,81.2,33916.8772,5270.53963
Jamaica,JAM,10830,2.687,4387,46.7,1.6,5.7,1.7,57.3,16.7,7.7,71.8,5274.0369,1901.61745
Kazakhstan,KAZ,2699700,15.674,70921,42.1,7.9,8.3,0.1,10.9,22.8,7.4,67,9135.7229,4495.13344
Kenya,KEN,569140,38.765,18021,78.4,8.9,5.8,6.3,8.7,38.8,2.7,54.2,775.279,147.43227
KoreaRep,KOR,96920,48.607,226946,18.5,13.6,12.3,0.1,80.2,9.4,10.4,79.8,20756.6887,8979.71157
KyrgyzRepublic,KGZ,191800,5.278,2860,63.7,21.4,11.5,0.2,16.1,24.4,5.4,67.4,860.3953,1401.89861
Latvia,LAT,62190,2.266,4484,31.9,6.4,10.2,0.6,63.2,10.6,17.2,72.4,10704.6722,2874.71273
Lebanon,LBN,10230,4.194,5242,13,13.1,12.3,0.1,22.5,15.7,7.3,72,9226.5709,3130.10038
