species,bodyweight,brainweight,sleeptime,lifespan,gestation
African elephant,6654,5712,3.3,38.6,645
African giant pouched rat,1,6.6,8.3,4.5,42
Arctic Fox,3.385,44.5,12.5,14,60
Asian elephant,2547,4603,3.9,69,624
Baboon,10.55,179.5,9.8,27,180
Big brown bat,0.023,0.3,19.7,19,35
Brazilian tapir,160,169,6.2,30.4,392
Cat,3.3,25.6,14.5,28,63
Chimpanzee,52.16,440,9.7,50,230
Chinchilla,0.425,6.4,12.5,7,112
Cow,465,423,3.9,30,281
Donkey,187.1,419,3.1,40,365
Eastern American mole,0.075,1.2,8.4,3.5,42
Echidna,3,25,8.6,50,28
European hedgehog,0.785,3.5,10.7,6,42
Galago,0.2,5,10.7,10.4,120
Goat,27.66,115,3.8,20,148
Golden hamster,0.12,1,14.4,3.9,16
Gorilla,207,406,12,39.3,252
Gray seal,85,325,6.2,41,310
Gray wolf,36.33,119.5,13,16.2,63
Ground squirrel,0.101,4,13.8,9,28
Guinea pig,1.04,5.5,8.2,7.6,68
Horse,521,655,2.9,46,336
Jaguar,100,157,10.8,22.4,100
Lesser short tailed shrew,0.005,0.14,9.1,2.6,21.5
Little brown bat,0.01,0.25,19.9,24,50
Man,62,1320,8,100,267
Mouse,0.023,0.4,13.2,3.2,19
Musk shrew,0.048,0.33,12.8,2,30
N American opossum,1.7,6.3,19.4,5,12
Nine banded armadillo,3.5,10.8,17.4,6.5,120
Owl monkey,0.48,15.5,17,12,140
Patas monkey,10,115,10.9,20.2,170
Phanlanger,1.62,11.4,13.7,13,17
Pig,192,180,8.4,27,115
Rabbit,2.5,12.1,8.4,18,31
Raccoon,4.288,39.2,12.5,13.7,63
Rat,0.28,1.9,13.2,4.7,21
Red fox,4.235,50.4,9.8,9.8,52
Rhesus monkey,6.8,179,9.6,29,164
Rock hyrax Hetero.b,0.75,12.3,6.6,7,225
Rock hyrax Procavia.hab,3.6,21,5.4,6,225
Roe deer,14.83,98.2,2.6,17,150
Sheep,55.5,175,3.8,20,151
Slow loris,1.4,12.5,11,12.7,90
Tenrec,0.9,2.6,13.3,4.5,60
Tree hyrax,2,12.3,5.4,7.5,200
Tree shrew,0.104,2.5,15.8,2.3,46
Vervet,4.19,58,10.3,24,210
Water opossum,3.5,3.9,19.4,3,14
Weddell seal,500,920,15.8,30,297
