"","x"
"1",2048
"2",2025
"3",2017
"4",1995
"5",1983
"6",1943
"7",1940
"8",1947
"9",1972
"10",1983
"11",1935
"12",1948
"13",1966
"14",1954
"15",1970
"16",2039
"17",2015
"18",2021
"19",2010
"20",2012
"21",2003
"22",1979
"23",2006
"24",2042
"25",2000
"26",2002
"27",2010
"28",1975
"29",1983
"30",2021
"31",2051
"32",2056
"33",2018
"34",2030
"35",2023
"36",2036
"37",2019
"38",2000
"39",1986
"40",1952
"41",1988
"42",2016
"43",2002
"44",2004
"45",2018
"46",2002
"47",1967
"48",1994
"49",2001
"50",2013
"51",2016
"52",2019
"53",2036
"54",2015
"55",2032
"56",2016
"57",2000
"58",1988
"59",2010
"60",2015
"61",2029
"62",2019
"63",2016
"64",2010
"65",2000
"66",2009
"67",1990
"68",1986
"69",1947
"70",1958
"71",1983
"72",2010
"73",2000
"74",2015
"75",2032
