"","V10"
"1",13.3
"2",14.5
"3",15.3
"4",15.3
"5",14.3
"6",14.8
"7",15.2
"8",14.5
"9",14.6
"10",14.1
"11",14.3
"12",16.1
"13",13.1
"14",15.5
"15",12.6
"16",14.6
"17",14.3
"18",15.4
"19",15.2
"20",16.8
"21",14.9
"22",13.7
"23",15.2
"24",14.5
"25",15.3
"26",15.6
"27",15.8
"28",13.3
"29",14.1
"30",15.4
"31",15.2
"32",15.2
"33",15.9
"34",16.5
"35",14.8
"36",15.1
"37",17
"38",14.9
"39",14.8
"40",14
"41",15.8
"42",13.7
"43",15.1
"44",13.4
"45",14.1
"46",14.8
"47",14.3
"48",14.3
"49",16.4
"50",16.9
"51",14.2
"52",16.9
"53",14.9
"54",15.2
"55",14.4
"56",15.2
"57",14.6
"58",16.4
"59",14.2
"60",15.7
"61",16
"62",14.9
"63",13.6
"64",15.3
"65",14.3
"66",15.6
"67",16.1
"68",13.9
"69",15.2
"70",14.4
"71",14
"72",14.4
"73",13.7
"74",13.8
"75",15.6
"76",14.5
"77",12.8
"78",16.1
"79",16.6
"80",15.6
