"","Ex8.34Reading"
"1",21
"2",20
"3",24
"4",23
"5",20
"6",21
"7",27
"8",27
"9",19
"10",18
"11",23
"12",21
"13",22
"14",21
"15",19
"16",17
"17",24
"18",23
"19",25
"20",23
"21",21
"22",20
"23",18
"24",19
"25",23
"26",25
"27",24
"28",24
"29",29
"30",30
"31",26
"32",26
"33",20
"34",20
"35",19
"36",21
"37",25
"38",26
"39",19
"40",19
"41",20
"42",20
"43",24
"44",24
"45",19
"46",21
"47",28
"48",26
"49",19
"50",18
"51",24
"52",21
"53",22
"54",24
"55",18
"56",20
"57",25
"58",23
"59",26
"60",25
"61",20
"62",20
"63",17
"64",19
"65",25
"66",25
"67",23
"68",25
"69",30
"70",28
"71",25
"72",26
"73",19
"74",20
"75",19
"76",19
"77",25
"78",24
"79",18
"80",17
"81",19
"82",21
"83",23
"84",24
"85",20
"86",22
"87",27
"88",28
"89",18
"90",21
"91",23
"92",22
"93",22
"94",20
"95",19
"96",18
"97",24
"98",24
"99",24
"100",25
"101",21
"102",20
"103",18
"104",19
"105",25
"106",25
"107",24
"108",25
"109",31
"110",30
"111",25
"112",27
"113",20
"114",20
"115",21
"116",23
"117",25
"118",25
"119",19
"120",17
